businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,imageUrls,websiteUrl,category,keyword
Taj,(770) 841-9860,654 Boll Weevil Cir,Enterprise,Alabama,36330,United States,"654 Boll Weevil Cir,Enterprise,Coffee County,Alabama,36330,United States",31.3218392,-85.8302736,"{""https://drive.google.com/file/d/1whB8kpPMFPe0cS3c9MylMlTb1BQ2J-_u/view?usp=drivesdk"",""https://drive.google.com/file/d/1t_VQydFnazCt9igcgGAIOuS_XzKblFHY/view?usp=drivesdk"",""https://drive.google.com/file/d/1stFDjG3b8AagfT_dGwyBxf9Zt_qkG-vw/view?usp=drivesdk""}",http://taj.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
India Palace,(334) 245-9340,2801 Vaughn Plaza Rd,Montgomery,Alabama,36116,United States,"2801 Vaughn Plaza Rd,Montgomery,Montgomery County,Alabama,36116,United States",32.3420993,-86.2208522,"{""https://drive.google.com/file/d/1GNP8WKB_INO9bBPbonVmBJB38zPOaHlK/view?usp=drivesdk"",""https://drive.google.com/file/d/1AHh19daE5VIB2UMLDMMGDnDePG2HMVhQ/view?usp=drivesdk"",""https://drive.google.com/file/d/13lvcsfqmQgtvmZ5z3rVOj2_4m-rpZKbh/view?usp=drivesdk""}",http://www.indiapalacemgm.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Bay Leaf Modern Indian Cuisine & Bar - 280,(205) 518-0208,5426 US-280 #14,Birmingham,Alabama,35242,United States,"5426 US-280 #14,Birmingham,Jefferson County,Alabama,35242,United States",33.4148553,-86.666779,"{""https://drive.google.com/file/d/1aLfqCRLiyTufFGHDYoni2rk4sRH7Dr0T/view?usp=drivesdk"",""https://drive.google.com/file/d/1ttkbruhz0T8q8iwi9G2msq2uZ0RbylAT/view?usp=drivesdk"",""https://drive.google.com/file/d/1RpdvswP9HAG9jIzRVep5e7wC0j_o-LIN/view?usp=drivesdk""}",https://www.bayleafbham.com/location/280,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taste of India,(205) 652-2080,651 Highway 28 W,Livingston,Alabama,35470,United States,"651 Highway 28 W,Livingston,Livingston County,Alabama,35470,United States",38.283172,-91.7219697,"{""https://drive.google.com/file/d/1_mSOSIB8ScNZXxnHaGz022XqA5ixViDv/view?usp=drivesdk"",""https://drive.google.com/file/d/1dWraTScZLzsQbgTfNgsmUNEr5GYNqA6L/view?usp=drivesdk"",""https://drive.google.com/file/d/1MMXpXOAzPEAr-tSZCwOZxYYzFv0ilvUm/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
India Garden,(256) 669-0050,8721 Madison Blvd,Madison,Alabama,35758,United States,"8721 Madison Blvd,Madison,Dane County,Alabama,35758,United States",34.6784353,-86.7445168,"{""https://drive.google.com/file/d/1jZo3eZf6ctAllmnYXjViuEPosYZ3xtLN/view?usp=drivesdk"",""https://drive.google.com/file/d/1xf0Grv_eux1JGT7SLJ1mG4jYAvnbUS8z/view?usp=drivesdk"",""https://drive.google.com/file/d/1BVMVS2jf9D7rSr_7wnpyCmbr3hdvitvq/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
BP,(205) 665-0276,4570 Highway 25,Montevallo,Alabama,35115,United States,"4570 Highway 25,Montevallo,Shelby County,Alabama,35115,United States",32.4157431,-81.8003128,"{""https://drive.google.com/file/d/1X7hWUIDdqtqoUb3RHKLSLS5ewCbNF-yb/view?usp=drivesdk"",""https://drive.google.com/file/d/1EXFFHomoIgpMvi8j2MSNQ69QAsxpA_aU/view?usp=drivesdk"",""https://drive.google.com/file/d/11Z4XhrTuYz651xWQ9pEpc9JZTGtnCPDV/view?usp=drivesdk""}",http://www.bp.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Ruchi,(256) 429-9882,4800 Whitesburg Dr S,Huntsville,Alabama,35801,United States,"4800 Whitesburg Dr S,Huntsville,Madison County,Alabama,35801,United States",34.6919822,-86.5702393,"{""https://drive.google.com/file/d/1cl2Ce1NAB64Yim1x5bzgodLIG8kRzzIH/view?usp=drivesdk"",""https://drive.google.com/file/d/1auStx9F3YCoMBeBBmu7rYOFiir1JLlMN/view?usp=drivesdk"",""https://drive.google.com/file/d/1AlyVwJ085FckEoakEPnx5T0nlU5W1FHR/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Saffron,(334) 356-4533,8868 Minnie Brown Rd,Montgomery,Alabama,36117,United States,"8868 Minnie Brown Rd,Montgomery,Montgomery County,Alabama,36117,United States",32.3607869,-86.1395325,"{""https://drive.google.com/file/d/1tLj_m6flyPg_xIIurx8bc4D1Xd-uJmG2/view?usp=drivesdk"",""https://drive.google.com/file/d/1E9BtSoXrk4gdZkzV92kpn0ybH74ijyOO/view?usp=drivesdk"",""https://drive.google.com/file/d/1zW3ZkWkgBrKG8PcJxQ2jlQ82eT9bSU-R/view?usp=drivesdk""}",https://www.saffronmontgomery.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Bawarchi Indian Cuisine,(205) 549-3374,2798 John Hawkins Pkwy Ste 108,Hoover,Alabama,35244,United States,"2798 John Hawkins Pkwy Ste 108,Hoover,Jefferson County,Alabama,35244,United States",33.3636908,-86.8228865,"{""https://drive.google.com/file/d/1mpz5TWIOYmmyzBG3XX9yirtsurXSovpz/view?usp=drivesdk"",""https://drive.google.com/file/d/1dfyFPQvqJiLSi0CWFsbshNJfuBOWTaUL/view?usp=drivesdk"",""https://drive.google.com/file/d/1DrholsRWXqa9-6VB90m9vdkWpBXYwsK4/view?usp=drivesdk""}",https://www.bawarchibirmingham.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Good Karma,(334) 246-3144,1409 S College St,Auburn,Alabama,36832,United States,"1409 S College St,Auburn,Lee County,Alabama,36832,United States",35.2170509,-80.854381,"{""https://drive.google.com/file/d/12raTysuRpl3W1dHH8ckxSWIxRCc-cW7e/view?usp=drivesdk"",""https://drive.google.com/file/d/1EpNKhIliLgWOxVWSsjzXj3XCVSkZpgfF/view?usp=drivesdk"",""https://drive.google.com/file/d/1QjtgzWCujfHBuqGcFblKSMGBB2oitBLA/view?usp=drivesdk""}",https://augoodkarma.com/contact,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Holi Indian Cuisine,(334) 792-4654,300 Kirkwood Dr,Dothan,Alabama,36303,United States,"300 Kirkwood Dr,Dothan,Houston County,Alabama,36303,United States",34.1057402,-118.3721745,"{""https://drive.google.com/file/d/1_yEzJCE4PvOPc-vfqieSl07sjSkCaepw/view?usp=drivesdk"",""https://drive.google.com/file/d/1VdLM5HhLlXdznquBRImMnRlGe5ebPpHr/view?usp=drivesdk"",""https://drive.google.com/file/d/1vaoBNSPvZUWQ_970AePCIWeUsQvR0Bxj/view?usp=drivesdk""}",https://holirestaurants.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
The Curry Modern Indian,(256) 517-8017,607 Andrew Jackson Way NE,Huntsville,Alabama,35801,United States,"607 Andrew Jackson Way NE,Huntsville,Madison County,Alabama,35801,United States",34.742588,-86.576986,"{""https://drive.google.com/file/d/1ZQ1Qkw9lZhzdjrgtwwxH7jg5vlbu-sd-/view?usp=drivesdk"",""https://drive.google.com/file/d/1LmNWh9sfp685Xicng4ZZAct68HD6q6VW/view?usp=drivesdk"",""https://drive.google.com/file/d/1ULvctD14NN-MGJDJDzyqIsFeweNEOgIq/view?usp=drivesdk""}",http://www.thecurryrestaurant.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taj India,(205) 939-3805,3028 Clairmont Ave S,Birmingham,Alabama,35205,United States,"3028 Clairmont Ave S,Birmingham,Jefferson County,Alabama,35205,United States",47.5742162,-122.2967042,"{""https://drive.google.com/file/d/1I5WokMwE_ZxAI_PCyT8d6kyW9wfSizEm/view?usp=drivesdk"",""https://drive.google.com/file/d/1bir1rtcD-lMEggn3CBUrsCS1UF25VdmD/view?usp=drivesdk"",""https://drive.google.com/file/d/1X6sOzv2DFFLvzFNlnwC6zb6WZIMhM6rv/view?usp=drivesdk""}",https://www.tajindia.net/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Silver Coin Indian Grill,(205) 823-9070,3321 Lorna Rd,Vestavia Hills,Alabama,35216,United States,"3321 Lorna Rd,Vestavia Hills,Jefferson County,Alabama,35216,United States",33.3927384,-86.7960688,"{""https://drive.google.com/file/d/12WLJo88t4An9GpHVW9uGHXny7WRTAMT_/view?usp=drivesdk"",""https://drive.google.com/file/d/1JR-OatH_yflPLJihYuPMGHYW96HBfwuA/view?usp=drivesdk"",""https://drive.google.com/file/d/1iLKr-h78gf8eEBtOfcwGagh-ldWQrfU2/view?usp=drivesdk""}",http://www.silvercoinusa.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
The Whispering Heart,(256) 822-1108,1221 13th Ave SE,Decatur,Alabama,35601,United States,"1221 13th Ave SE,Decatur,Macon County,Alabama,35601,United States",34.5878898,-86.9718047,"{""https://drive.google.com/file/d/1hJaUlzvZX7YOCsUsWwPRs9VIVyCdwz3F/view?usp=drivesdk"",""https://drive.google.com/file/d/1E7ODAWZEFZhM1GML-CPT0MWuWiE60Wfe/view?usp=drivesdk"",""https://drive.google.com/file/d/1TAT8NUnh5WK_fZ0fkwW3iBOGfNAiI3f6/view?usp=drivesdk""}",,Grocery,"{""Indian grocery"", "" Kirina dukan"", "" genral store"", "" smart bazar"", "" maggie"", "" ration ki dukan""}"
Bombay Bazaar,(251) 344-9415,7161 Airport Blvd,Mobile,Alabama,36608,United States,"7161 Airport Blvd,Mobile,Mobile County,Alabama,36608,United States",29.6517482,-95.2972358,"{""https://drive.google.com/file/d/1EiD49ZDPOjSflgbKxswOKO7OiYRS-54j/view?usp=drivesdk"",""https://drive.google.com/file/d/147Fhpm73RIn3r4UjTQkbne0Vv44VkUMa/view?usp=drivesdk"",""https://drive.google.com/file/d/1I1ToMPgRIgPLADcMhI6WqSyYwsuel0ez/view?usp=drivesdk""}",,Grocery,"{""Indian grocery"", "" Kirina dukan"", "" genral store"", "" smart bazar"", "" maggie"", "" ration ki dukan""}"
Curry's Countrystore,(334) 627-3243,5645 County Road 30,Magnolia,Alabama,36754,United States,"5645 County Road 30,Magnolia,Montgomery County,Alabama,36754,United States",32.12771,-87.67303,"{""https://drive.google.com/file/d/1ZyTNBjuQ4dRwERLYwvgbin2e1OpnM4hW/view?usp=drivesdk"",""https://drive.google.com/file/d/1qRvbf-F_4rtAL7GVfj6-E5PsPNyrKgHn/view?usp=drivesdk"",""https://drive.google.com/file/d/1hJaUlzvZX7YOCsUsWwPRs9VIVyCdwz3F/view?usp=drivesdk""}",,Grocery,"{""Indian grocery"", "" Kirina dukan"", "" genral store"", "" smart bazar"", "" maggie"", "" ration ki dukan""}"
Indian Springs Animal Clinic - Robert S Gaddis DVM,(205) 259-7234,1583 Cahaba Valley Rd,Pelham,Alabama,35124,United States,"1583 Cahaba Valley Rd,Pelham,Shelby County,Alabama,35124,United States",33.3450833,-86.7700714,"{""https://drive.google.com/file/d/1a3Ie_3xNy3WGwPvXUvsrvwvyXzAF54lq/view?usp=drivesdk"",""https://drive.google.com/file/d/1gYDpchArUva91yoTBb4RNYSTU94pcRiA/view?usp=drivesdk"",""https://drive.google.com/file/d/1gx3gj9qAjdzm0_fD52XD2AfQ7Fp0hhSV/view?usp=drivesdk""}",https://www.animaldentalspecialists.com/,Hospital,"{""Hospital"", "" mediacal"", "" chemist"", "" dawa shop"", "" dawa ki dukan""}"
Indian Rivers Community Mental Health,(205) 391-3131,2209 9th St Ste 200,Tuscaloosa,Alabama,35401,United States,"2209 9th St Ste 200,Tuscaloosa,Tuscaloosa County,Alabama,35401,United States",32.57642,-84.77283,"{""https://drive.google.com/file/d/1mS-9RWyrakK1d8EmGNE82-Lc44eni4aM/view?usp=drivesdk"",""https://drive.google.com/file/d/1c5GlAxfBNkvtaBrWgBlOsRX4xk5G359l/view?usp=drivesdk"",""https://drive.google.com/file/d/1u_GNP7SSroB0sGzxW1fRS0c0ab7_kqsx/view?usp=drivesdk""}",https://www.irbh.org/contact,Hospital,"{""Hospital"", "" mediacal"", "" chemist"", "" dawa shop"", "" dawa ki dukan""}"
Indian Hills Animal Clinic & Pet Hotel,(205) 345-1231,200 McFarland Cir N,Tuscaloosa,Alabama,35406,United States,"200 McFarland Cir N,Tuscaloosa,Tuscaloosa County,Alabama,35406,United States",33.233239,-87.5369197,"{""https://drive.google.com/file/d/1k-kZynk7ZRvRitQAPde9ugLZ4xoBBTXf/view?usp=drivesdk"",""https://drive.google.com/file/d/1IIGm73StvcEPFRiBi7P9aEvtAuxBiPv1/view?usp=drivesdk"",""https://drive.google.com/file/d/1KKFWN3GtmN6xSVj5Z0oDblOa9csHhu-t/view?usp=drivesdk""}",http://indianhillsac.com/,Hospital,"{""Hospital"", "" mediacal"", "" chemist"", "" dawa shop"", "" dawa ki dukan""}"
Indian Hills Plastic Surgery PC,(205) 333-4661,3601 Watermelon Rd,Northport,Alabama,35473,United States,"3601 Watermelon Rd,Northport,Suffolk County,Alabama,35473,United States",33.2392266,-87.5514443,"{""https://drive.google.com/file/d/1cuywL8RXU5R9eCa7VCKYFDGWGFuPNtXQ/view?usp=drivesdk"",""https://drive.google.com/file/d/1zz3QmKOK_Fcm3cPuYTqz3bOkg2d2sxJz/view?usp=drivesdk"",""https://drive.google.com/file/d/1DSXyCzaSZjz3vmaVEMjKtk_QZ2E-HoMd/view?usp=drivesdk""}",,Hospital,"{""Hospital"", "" mediacal"", "" chemist"", "" dawa shop"", "" dawa ki dukan""}"
Indian Springs Hairstyles,(205) 987-8971,1579 Cahaba Valley Rd,Hoover,Alabama,35124,United States,"1579 Cahaba Valley Rd,Hoover,Jefferson County,Alabama,35124,United States",33.3450033,-86.7702482,"{""https://drive.google.com/file/d/12wAn7i8U8JJeDsXiO8gM-6T4-Xzm2kHX/view?usp=drivesdk"",""https://drive.google.com/file/d/1I5kXntLAA_8rttZ1M-WXfefSSGm0B_xt/view?usp=drivesdk"",""https://drive.google.com/file/d/1OJMFO-OrNrTk-GNaJMgxKs2S7-k87q51/view?usp=drivesdk""}",,Hairstyle,"{""Indian salon"", "" Nai"", "" SPA"", "" hair cut"", "" haircut""}"
