businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,category,websiteUrl,Image 1,Image 2,Image 3
"GILL IMMIGRATION CONSULTANT, INC",1 559-412-2876,4709 N El Capitan Ave #103,Fresno,California,93722,United States,"4709 N El Capitan Ave #103, Fresno, CA 93722, USA",36.806469,-119.868708,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+reallistic+law+office+for+bankruptcy+law+more+alive.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(7).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(1).png
SM IMMIGRATION CONSULTANT LLC,1 559-569-5644,4165 W Alamos Ave Ste 102,Fresno,California,93722,United States,"4165 W Alamos Ave Ste 102, Fresno, CA 93722, USA",36.8051863,-119.8665203,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/an+image+that+represents+tax+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(2).png
Law Office of Najda Kazarian,1 559-365-8973,1401 Fulton St Suite 906,Fresno,California,93721,United States,"1401 Fulton St Suite 906, Fresno, CA 93721, USA",36.7378373,-119.7950092,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/case+law%2C+law+change%2C+law%2C+image+for+a+blog+post.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Legal+law+concept+image%2C+extreme+close+up+of+scales+symbol+of+Justice.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(3).png
The Bains Law Offices,1 559-282-8924,516 W Shaw Ave #200,Fresno,California,93704,United States,"516 W Shaw Ave suite 200, Fresno, CA 93704, USA",36.8082796,-119.801765,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Create+an+image+of+a+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/present+card+about+law+and+justice+for+the+day+of+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(4).png
Law Offices of Sam Salhab,1 559-412-9888,2445 Capitol St Ste 140,Fresno,California,93721,United States,"2445 Capitol St Ste 140, Fresno, CA 93721, USA",36.736166,-119.7839888,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/image+of+a+stack+of+documents+and+a+hand+holding+a+law+book.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/stock+photo+showing+Indian+low+and+jurisdiction+-+Indian+national+flag+or+tricolour+with+wooden+gavel+showing+concept+of+law+in+India.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+hyper+photo+realistic+image+of+a+law+symbol+on+the+table+with+laptop.png
Singh Ahluwalia Attorneys at Law,1 559-354-7093,4185 W Figarden Dr #104,Fresno,California,93722,United States,"4185 W Figarden Dr #104, Fresno, CA 93722, USA",36.8289964,-119.8661904,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+206+of+the+Egyptian+Tax+Law+%5Bid_7483392%5D.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/The+Statue+of+Justice+symbol%2C+legal+law+concept+image%2C+Realistic+Photo%2C+Minimal+Composition%2C+law+theme%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+reallistic+law+office+for+bankruptcy+law+more+alive.png
Law Office of Alaina N. Ybarra,1 559-437-9200,4478 W Spaatz Ave,Fresno,California,93722,United States,"4478 W Spaatz Ave, Fresno, CA 93722, USA",36.8388786,-119.8734138,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+hyper+photo+realistic+image+of+a+law+symbol+on+the+table+with+laptop.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(6).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+firm+background+image+for+arbitration+and+mediation+section%2C+minimalist%2C+elegant%2C+photography+style%2C+branding+style.png
Emerzian Shankar Legal Inc,1 559-490-0451,,Fresno,California,,United States,,,,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+reallistic+law+office+for+bankruptcy+law+more+alive.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(7).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(1).png
"Law Offices of Tina M. Barberi, PC",1 559-447-1240,7493 N Ingram Ave #103,Fresno,California,93711,United States,"7493 N Ingram Ave #103, Fresno, CA 93711, USA",36.8457352,-119.8023355,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/case+law%2C+law+change%2C+law%2C+image+for+a+blog+post.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Legal+law+concept+image%2C+extreme+close+up+of+scales+symbol+of+Justice.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(3).png
Aadar Indian Bistro,,9447 N Fort Washington Rd #112,Fresno,California,93730,United States,"9447 N Fort Washington Rd #112, Fresno, CA 93730, USA",36.8747941,-119.7780815,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+gyros+fast+food+in+flatbread%2C+lettuce%2C+tomatoes%2C+onions%2C+rolled%2C+isolated%2C+generative+ai.png
King Indian Restaurant,,6611 N Riverside Dr suite #104,Fresno,California,93722,United States,"6611 N Riverside Dr suite #104, Fresno, CA 93722, USA",36.8338909,-119.9103984,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+biryani+on+plate.png
Bay Leaf Indian Kitchen,,4368 W Shaw Ave,Fresno,California,93722,United States,"4368 W Shaw Ave, Fresno, CA 93722, USA",36.8094678,-119.8706081,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%2C+kerala+appam%2C+top-view%2C+indian+food%2C+gold+plate%2C+photo-realistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish+%2C+realistic+photo+%2C+high+resolution.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+momos%2C+scattared%2C+top+view%2C+circle+plate%2C+studio+shot%2C+realistic.webp
Golden Punjab Indian Restaurant Fresno,,8064 N Cedar Ave,Fresno,California,93720,United States,"8064 N Cedar Ave, Fresno, CA 93720, USA",36.8532627,-119.7553392,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+a+plate+filled+with+luscious+Gulab+Jamun+in+a+vibrant+Diwali+setting)%2C+Diwali%2C+Indian+Sweets%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+vegan+Quinoa+Food+Photo%2C+AI+Generative.png
Punjabi Dhaba - Indian Cuisine,,3767 S Golden State Blvd,Fresno,California,93725,United States,"3767 S Golden State Blvd, Fresno, CA 93725, USA",36.6797779,-119.7376417,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(1).png
Royal Taj Fine Indian Cuisine,,6735 N First St,Fresno,California,93710,United States,"6735 N First St, Fresno, CA 93710, USA",36.8365286,-119.7747226,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(2).png
Tandoori Night,,6751 N Blackstone Ave,Fresno,California,93710,United States,"6751 N Blackstone Ave, Fresno, CA 93710, USA",36.8362539,-119.7912314,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%5B4974394044%5D+simple+daal+illustration+with+yellow+lentils.+cozy.+vegan.+minimalist.+thick+pen.+with+lots+of+green.+square.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(3).png
Luv Punjab,,5560 E Kings Canyon Rd,Fresno,California,93727,United States,"5560 E Kings Canyon Rd, Fresno, CA 93727, USA",36.7352512,-119.7013591,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3d+modeling+indian+daal+tadaka+%2Cclose+up%2C+16k%2C+super+high+definition%2C+HD%2C+shot+with+nikon.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+dal+chawal+in+a+takeaway%2C+Indian+Food.+Green%2C+white%2C+black%2C+ui%2C+ux%2C+ui_ux+%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes.png
Mirchi Massala Fine Indian Cuisine,,1069 E Shaw Ave,Fresno,California,93710,United States,"1069 E Shaw Ave, Fresno, CA 93710, USA",36.807293,-119.7711266,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Dhokla+or+sandwich+dhokla+_+Indian+savory+snacks+made+of+chick+pea+flour+or+rice+flour%2C+selective+focus+stock+photo+Asia%2C+Breakfast%2C+Cheese%2C+Cooked%2C+Food.png
Aroma Indian Food,,5076 W Shaw Ave,Fresno,California,93722,United States,"5076 W Shaw Ave, Fresno, CA 93722, USA",36.8084671,-119.8824113,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/dnd+style+sandwich.png
Royal Indian Kitchen,,2885 E Jensen Ave,Fresno,California,93706,United States,"2885 E Jensen Ave, Fresno, CA 93706, USA",36.7073098,-119.7765681,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+momos+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+family+in+a+restaurant+enjoying+food+and+making+memories.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/donuts%2C+look+tasty%2C+cooking%2C+high+accuracy+of+eating+and+image%2C+food%2C+detail%2C+commercial+photography%2C+focus+on+food%2C+different+camera+position.png
Indian Kebab Palace,,1552 E Champlain Dr,Fresno,California,93720,United States,"1552 E Champlain Dr, Fresno, CA 93720, USA",36.8680296,-119.7549999,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+pani+puri+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+festival+makar+sankranti+special+haldi+kumkum+with+sankranti+sweets+of+jaggery+recipes%2C+til+ladoo%2C+peanut+chikki%2C+til+chikki%2C+rajgira+laddu.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Curry+Sauce%2C+Indian+food+Photography.png
Sher-E-Punjab Restaurant & Catering,,7050 N Cedar Ave,Fresno,California,93720,United States,"7050 N Cedar Ave, Fresno, CA 93720, USA",36.8387477,-119.7525118,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+breakfast+with+kosher+food+photorealistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography+(2).png
Brahma Indian Cuisine,,3050 W Shaw Ave #108,Fresno,California,93711,United States,"3050 W Shaw Ave #108, Fresno, CA 93711, USA",36.8094528,-119.8452056,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+golden+pot+having+swwet+indian+food+like+sweet+milke.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography.png
Bollywood Indian Street Food,,7059 N Cedar Ave,Fresno,California,93720,United States,"7059 N Cedar Ave, Fresno, CA 93720, USA",36.8380524,-119.7565154,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+photograph+of+a+smiling+Zulu+woman+in+a+fast+food+uniform+standing+behind+a+fast+food+counter%2C+steamed+dumplings.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/eggless+mayonnaise+veg+roll%2Cside+view.png
India’s Oven Restaurant and Bar,,1153 N Fulton St,Fresno,California,93728,United States,"1153 N Fulton St, Fresno, CA 93728, USA",36.7575246,-119.800495,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+plate+decorated+by+the+food+items%2C+indian+cuisine.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(3).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Emerging+Food+%26amp_+Beverage+Trends+2021_+AI+Reduces+This+Year%26%23039_s+Unpredictability%2C.png
India Bazaar & Amritsari Rasoi,,3752 W Shields Ave Suite 103,Fresno,California,93722,United States,"3752 W Shields Ave Suite 103, Fresno, CA 93722, USA",36.7795474,-119.8604115,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+real+4k+image+of+a+bowl+with+daal+makhni+in+it+covered+with+melted+cheese.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/erated+im+street+food.png
Rajdhani Express (Indian Food Factory),,6451 E Shields Ave,Fresno,California,93727,United States,"6451 E Shields Ave, Fresno, CA 93727, USA",36.778872,-119.6736553,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+round+barbeque+table+with+3+veg+items+with+Punjabi+people+eating+veg+barbeque+food%2C+wide+angle+shot%2C+and+a+minimal+light+background+with+bokeh+lights.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+%2C+illustrations+%2C+cute+%2C+innocent+%2C+dark+color+%2C+aerial+view%2C+wide+angle+short.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Exploring+Irresistible+Fast+Food.png
New Star Indian Cuisine,,5348 W Spruce Ave,Fresno,California,93722,United States,"5348 W Spruce Ave, Fresno, CA 93722, USA",36.838644,-119.8889329,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+sandwich+inside+a+sandwich.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Eye+level+POV+of+a+dining+table+filled+with+modak%2C+kheer%2C+laddoo+and+indian+sweets%2C+daylight.png
Punjabi Tadka,,3999 N Parkway Dr,Fresno,California,93722,United States,"3999 N Parkway Dr, Fresno, CA 93722, USA",36.7933684,-119.8675577,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/A+table+full+of+indian+food+dishes%2C+wide+angle%2C+8k+relastic+image_.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+(2).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Eye+level+POV+of+a+dining+table+filled+with+modak%2C+kheer%2C+laddoo+and+indian+sweets.png
India's Oven - Indian Cuisine / Indian Food Restaurants / Best Indian Restaurants (Fresno),,3035 W Ashlan Ave,Fresno,California,93722,United States,"3035 W Ashlan Ave, Fresno, CA 93722, USA",36.7928427,-119.8452202,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+table+full+off+food+chinese+food.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+(3).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+(1).png
Veggie Indian food,,4249 W Shaw Ave,Fresno,California,93722,United States,"4249 W Shaw Ave, Fresno, CA 93722, USA",36.8075916,-119.8680905,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/A+tricolor+display+of+Indian+sweets+and+delicacies+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+brunch.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+(2).png
Daana Paani indian cuisine,,3135 E Central Ave,Fresno,California,93725,United States,"3135 E Central Ave, Fresno, CA 93725, USA",36.6775895,-119.7350031,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/A+tricolor+display+of+Indian+sweets+and+delicacies.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+chicken+tikka.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+(3).png
Curry House,,7735 N Blackstone Ave #105,Fresno,California,93720,United States,"7735 N Blackstone Ave #105, Fresno, CA 93720, USA",36.8481228,-119.7918058,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+Veg+schezwan+momo+with+a+red+and+white+sauce+served+over+a+rustic+wooden+background%2C+selective+focus+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+closeup+view+on+a+white+table.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+and+unhealthy+eating+concept+-+close+up+of+fast+food+snacks+and+cola+drink+on+wooden+table%2C.png
Tandoori Grill,,5189 E Cesar Chavez Blvd,Fresno,California,93727,United States,"5189 E Cesar Chavez Blvd, Fresno, CA 93727, USA",36.7363398,-119.7186685,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+Veg+schezwan+momo+with+a+red+and+white+sauce+served+over+a+rustic+wooden+background%2C+selective+focus.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+Dal+halwa+in+a+plate+on+yellow+%2C+UHD%2C+8k%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+and+unhealthy+eating+concept+-+close+up+of+fast+food+snacks+and+cola+drink+on+wooden+table.png
